"swls","traitPA","traitNA","gender","age","condition","condition2","surveyCond","lifeSat2","lifeHappy1","lifeChange","moodPA","moodNA","drmDayWrong","drmPA","drmNA","daySat"
3.2,4,3,1,20,"good",6,"Questions",8,8,7,4,1.33333333333333,NA,NA,NA,NA
NA,3.66666666666667,3,1,19,"bad",5,"Questions",6,6,3,2.66666666666667,1.66666666666667,0,2.11111111111111,2.27777777777778,6
2.8,3.33333333333333,3.2,1,21,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1.83333333333333,6
NA,5,3.33333333333333,1,19,"bad",5,"NoQuestions",5,9,6,2.33333333333333,4,0,3,1.55555555555556,8
6.4,4.66666666666667,3.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,2.11111111111111,1.11111111111111,6
NA,3.66666666666667,2,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,2.5,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,3.66666666666667,3.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,3.66666666666667,2.83333333333333,1,22,"bad",5,"NoQuestions",7,8,4,2,2,0,2.33333333333333,1.5,8
6.4,4.66666666666667,3,1,21,"bad",5,"NoQuestions",8,9,7,4,1.66666666666667,0,2.55555555555556,1,8
NA,2,3.5,1,20,"bad",5,"Questions",3,2,3,2,4,0,1.33333333333333,1.88888888888889,4
4,3.33333333333333,2.66666666666667,1,20,"good",6,"NoQuestions",6,6,7,3,2,0,0.444444444444444,0.111111111111111,5
5.8,4.33333333333333,3.33333333333333,1,18,"bad",5,"NoQuestions",8,8,8,2.66666666666667,2,0,3.33333333333333,1.05555555555556,8
5.6,5,2.83333333333333,2,20,"good",6,"Questions",8,8,3,2.33333333333333,1,0,0.444444444444444,0.5,7
NA,4.33333333333333,2.83333333333333,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,1.33333333333333,2,20,"good",6,"Questions",6,6,6,3.66666666666667,2,NA,NA,NA,NA
